id,initiative,item,status,note
"AI-1","ai-review","Lens ontology (core)","done","Schemas + grounding gate + prompt registry + session exporter landed in @samskara/core with 40 tests"
"AI-2","ai-review","Harness runner + job lifecycle (server)","done","Runner XDG-sandboxed (empty opencode home, auth copied in) - jobs registry (4 concurrent) - editor-gated POST analyze + GET aireview + GET job status - 190 server tests green"
"AI-3","ai-review","Web: Analyze button + timeline lens","done","Analyze button only when no ai-v1 review - 3s polling - timeline entries deep-link into the conversation span - learnings lenses with evidence links - 252 web tests green"
"AI-4","ai-review","CLI: samskara review --ai","done","samskara review --ai polls the job and prints verdict + lenses; --json exits non-zero when lenses are missing so agents can loop"
"AI-5","ai-review","Live end-to-end on the test session","done","Sandbox + alias + position ids verified live on the 5-msg session (16s end-to-end); 4 real bugs found end-to-end (msb --timeout format, missing auth stage + xdg-data mkdir, </dev/null on stdin, plus the earlier three). 1501-msg session review grounded correctly but emit was malformed - export shape is the next thing to fix (AI-6)"
"AI-6","ai-review","Tighten export shape so big sessions don't take 6 min","done","Export drops turnEvent/custom and folds call+result pairs (1500-msg fixture 280KB to 112KB); prompt cites the pre-shaped export instead of read-it-fully; XML heal recovers dropped lens-wrapper openers - 214 core tests"
"AI-7","ai-review","Owner writeup page","todo","One HTML page for the owner via the writeup skill after AI-5 closes"
"AI-8","ai-review","Analyze job survives reload + duplicate-run guard","done","Found live: an owner click looked dead because reload forgets a running job. aireview now carries the running job so the page joins the poll on load; POST analyze 409s on already-running/already-exists; CLI attaches to running jobs - 208 server / 258 web tests"
"TR-1","truthful-reviews","Feed commits/PRs into the review projection","done","reviewFromDetail projects commits/pullRequests into review events so outcome shipped is reachable (a commit beats abort signals - precedence pinned in tests); tokenUsage folded as one aggregate tokens event - 202 server tests"
"TR-2","truthful-reviews","learn --write merges hand-written lessons","done","writeLearnings merges hand-written lessons into INDEX (never clobbers, empty accepted set leaves everything intact); generated files carry a source frontmatter mark and only those are pruned"
"TR-3","truthful-reviews","--project resolves names loudly","done","GET /api/projects/resolve (cli audience) + CLI resolves name/slug/prefix loudly; unknown or ambiguous exits 1 before anything is written; help text truthful"
"TR-4","truthful-reviews","Occurrence counts per distinct session","done","learningSessions link table (migration 0023_tense_scream); occurrenceCount bumps only on a new distinct session (idempotent re-review, heuristic and AI paths share upsertLearning); title keeps the max magnitude"
"TR-5","truthful-reviews","Per-track projection","todo","Subagent task prompts count as human prompts; project tracks separately in events.ts"
"TR-6","truthful-reviews","Relative-path fingerprints","todo","Absolute edit paths leak usernames and split fingerprints across machines; use the artifact table relativePath"
"TR-7","truthful-reviews","Shared counters + token fold","todo","Extractor re-derives analyzer counters and has diverged; messages carry no tokens so reviews report zero"
"LA-1","loop-automation","Review on quiet (watcher sweep)","todo","Idle-session sweep in the watcher 10s cycle calls the review endpoint; needs TR-1 first so auto reviews are truthful"
"SA-1","subagent-awareness","Collect children when parent checkpoint current","done","opencode collector checks children before skipping on a current parent checkpoint; a quiet parent with a moved child now ships only the child tracks; quiescent families emit nothing"
"SA-2","subagent-awareness","Nested subagent timeline lanes","todo","Lens payloads already carry track identity; render subagent activity as nested lanes inside the timeline"
"SA-3","subagent-awareness","Sub-reviews + spawning-efficiency lens","todo","Per-track sub-reviews and a lens that judges orchestration itself - was spawning worth it"
"ME-1","memory","pgvector similar-sessions","todo","Provisioned and unused; embed summaries/error signatures; GET /api/sessions/:id/similar + web panel"
"DE-1","delivery","Accepted lessons reach the next agent","todo","CLAUDE.md pointer or SessionStart hook at .harness/knowledge/ in enabled projects; the loop agent-half stays open until something reads what learn writes"
"AI-9","ai-review","Review quality overhaul (verdict language, incremental XML, accordion learnings)","done","Landed end-to-end: template-fill XML contract (agent assembles review.xml incrementally, self-validates, server reads file back); synonym healing (friction=overcome no longer kills a review); numbers + per-phase durations computed server-side, never model-claimed; plain-language verdict sentences; time-flow strip; accordion learnings with human/agent/harness audiences; partial banner + review-agent run panel with sandbox log. Verified live on ses_fc28df46 (3min run, partial honestly flagged: healer dropped 2 of 11 claimed entries)"
"AI-10","ai-review","Reviewer harness choice (claude lane, per-run model)","done","AI_REVIEW_HARNESS env (opencode|claude); createClaudeRunner (headless claude -p, HOME/CLAUDE_CONFIG_DIR redirected into the workspace); analyze accepts {harness,model} and the modal posts them; per-harness defaults (opencode glm-5.3-flash, claude sonnet); msb stays opencode-only"
"AI-11","ai-review","Redo review + visible job state","done","analyze accepts force=true and the upsert supersedes; Redo button reuses the harness/model dialog; card shows Redo running/failed with plain-language reasons; reload rejoins running redos; analyzedAt surfaced so a redo moves the timestamp"
"AI-12","ai-review","Contract v3: breadcrumbs lens + staged CONTRACT.md","done","harnessLearnings replaced by breadcrumbs (query/command/path/procedure/tool) across schema/template/parser/grounding/counts; full contract staged into the workspace as CONTRACT.md, prompt now a lean pointer; learnings must name a change not a compliment; unknown categories default instead of dropping; friction=none passes through (was healed to moderate)"
"AI-13","ai-review","Reviewer transcript capture + Reviewer session modal","done","Pipeline lifts the reviewer's own session before workspace cleanup (claude jsonl from its redirected config dir; opencode sqlite from the redirected XDG - covers soft and msb lanes); modal renders it conversation-style (roles, text, inline tool calls); falls back to the output tail"
"AI-14","ai-review","Sessions list: AI-review badge + filter; UI simplification","done","hasAiReview on list rows + aiReview=done|missing filter (web and samskara search --ai-review); static review card hidden; verdict = color dot + plain sentence (no enum words); full timeline with duration + % of session"
